Davide Zappacosta	79	RM++ RB, LB, LM	900
Diego Manuel J. da Silva Moreira	79	RM++ RB, LB, LM	650
Duván Zapata	79	ST	650
Emil Audero	79	GK	0
Federico Gatti	79	CB	650
Giorgio Scalvini	79	CB	950
Isak Hien	79	CB	800
Leonardo Balerdi	79	CB	700
Mario Pašalić	79	CM CDM, CAM	650
Martin Baturina	79	CAM CM, LM, LW	650
Nico González	79	LM RM, CAM, RW, +2	650
Noa Lang	79	LM LW	650
Odilon Kossounou	79	CB	850
Pape Matar Sarr	79	CM CDM	650
Ruben Loftus-Cheek	79	CAM CM	650
Zeki Çelik	79	RB CB, RM	650
Adam Marušić	78	RB LB, RM, LM	650
Álvaro Borja Morata Martín	78	ST	0
Arthur Theate	78	CB LB	750
Boulaye Dia	78	ST CAM	0
Danilo Cataldi	78	CM CDM	650
Diego Carlos Santos Silva	78	CB	750
Domilson Cordeiro dos Santos	78	RB RM	650
Douglas Luiz Soares de Paulo	78	CDM CM	650
Edon Zhegrova	78	RM RW	650
Giacomo Raspadori	78	ST LM, CAM, LW	850
Gianluca Scamacca	78	ST	4800
Jean Butez	78	GK	700
Jérémie Boga	78	CAM ST	650
Kenneth Taylor	78	CM CDM	650
Lazar Samardžić	78	CAM CM	650
Lorenzo Pellegrini	78	CAM CM	650
Lucas Da Cunha	78	CDM CM	650
Łukasz Skorupski	78	GK	650
Maxence Caqueret	78	CDM CM, CAM	800
Máximo Perrone	78	CDM CM	750
Nicola Zalewski	78	LM CM, CAM, LW	700
Nicolò Rovella	78	CDM CM	650
Oumar Solet	78	CB	800
Pervis Estupiñán	78	LB LM	800
Petar Sučić	78	CM CDM	650
Raoul Bellanova	78	RB RM	650
Rasmus Højlund	78	ST	900
Romano Schmid	78	CAM CM, LM, LW	1200
Sam Beukema	78	CB	1300
Samuel Chukwueze	78	RM LM, RW, LW	750
Samuele Ricci	78	CM CDM	1000
Santiago Giménez	78	ST	0
Sead Kolašinac	78	CB	1100
Strahinja Pavlović	78	CB	800
Tasos Douvikas	78	ST	750
Teun Koopmeiners	78	CAM CB, CDM, CM	650
Yann Aurel Bisseck	78	CB	750
Yoan Bonny	78	ST	650
Albert Guðmundsson	77	ST LM, CAM, LW	650
Albion Rrahmani	77	ST	1200
Ché Adams	77	ST	900
Daniel Santos Bragança	77	CM CDM, CAM	1100
Florian Grillitsch	77	CM CB, CDM	1500
Francesco Pio Esposito	77	ST	1500
Franco Mastantuono	77	RM CAM, RW	0
Giovanni Simeone	77	ST	950
Lewis Ferguson	77	CDM CM	1100
Lloyd Kelly	77	CB	1200
Luis Henrique Tomaz de Lima	77	RB RM	800
Mathías Olivera	77	LB CB, LM	1300
Nahuel Molina	77	RB RM	1900
Neil El Aynaoui	77	CM CDM	0
Nemanja Matić	77	CDM CM	850
Norberto Gomes Betuncal	77	ST	1000
Randal Kolo Muani	77	ST RM, CAM, RW	1300
Rodrigo Mora de Carvalho	77	CAM CDM, CM, LM, +2	800
Rolando Mandragora	77	CM CDM	750
Santiago Castro	77	ST	700
Yan Bueno Couto	77	RB RM, RW	650
Adrián Bernabé García	76	CM CAM	1500
Aleksandar Stanković	76	CDM CM	1000
Alfonso Pedraza Sag	76	LB LM	1000
Andrea Colpani	76	CAM CM	1100
Andy Diouf	76	CM CAM	1300
Ardon Jashari	76	CDM CM	2400
Arkadiusz Milik	76	ST	1800
Arthur Atta	76	CM CAM	800
Arthur Henrique Ramos Oliveira Melo	76	CDM CM	0
Assane Diao	76	RM LM, RW, LW	700
Benoît Badiashile	76	CB	1800
Djibril Sow	76	CM CDM	1000
Eljif Elmas	76	CAM CM	0
Exequiel Zeballos	76	LW RM, LM, RW	700
Gustav Isaksen	76	RW RM	650
Jacobo Ramón Naveros	76	CB	1700
Jens Odgaard	76	CAM CM	900
Jesús Rodríguez Caraballo	76	LM LW	1300
Jhon Lucumí	76	CB	1300
João Mário Neto Lopes	76	RB RM	1000
Jonathan Rowe	76	LM RM, RW, LW	800
Josep Martínez Riera	76	GK	950
Josip Šutalo	76	CB	1300
Juan Miranda González	76	LB LM	800
Keinan Davis	76	ST	1600
Konstantinos Koulierakis	76	CB	1300
Kristian Thorstvedt	76	CM CDM	900
Leo Østigård	76	CB	950
Lorenzo Montipò	76	GK	850
Lucas Estella Perri	76	GK	1000
Maduka Okoye	76	GK	750
Marc-Oliver Kempf	76	CB	1100
Marco Sportiello	76	GK	1600
Matteo Pessina	76	CM CDM	1100
Mattia Perin	76	GK	0
Mërgim Vojvoda	76	RB RM	1200
Morten Frendrup	76	CDM CM	1300
Nicolas Kühn	76	RM RW	0
Nicolò Cambiaghi	76	LM LW	750
Nicolò Fagioli	76	CDM CM	650
Nicolò Zaniolo	76	ST CAM	1200
Nikola Krstović	76	ST	7600
Nuno Albertino Varela Tavares	76	LB LM	950
Omari Hutchinson	76	RM CAM, RW	2300
Pietro Terracciano	76	GK	1200
Rafael Marín Zamora	76	CB	2000
Saúl Basilio Coco Bassey Oubiña	76	CB	650
Sebastiano Esposito	76	ST CAM	700
Yerry Mina	76	CB	900
Adam Obert	75	LB CB	1200
Akor Jerome Adams	75	ST	2000
Álex Valle Gómez	75	LB CM	650
Anass Salah-Eddine	75	LB LM	6800
Andrea Pinamonti	75	ST	3700
Antonino Gallo	75	LB LM	700
Ardian Ismajli	75	CB	1000
Billy Gilmour	75	CM CDM	1900
Brooke Norton-Cuffy	75	RB RM	0
Cesare Casadei	75	CM CDM	2000
Cristiano Biraghi	75	LB LM	900
Devyne Rensch	75	RM RB, CB, LB, +1	850
Emanuele Valeri	75	LB LM	3000
Emil Holm	75	RB RM	750
Enrico Delprato	75	CB RB	800
Enrique Pérez Muñoz	75	CM CDM	1700
Fabiano Parisi	75	LB RB, CM	1100
Fabio Miretti	75	CM CAM	0
Federico Bernardeschi	75	RM RW	700
Gianluca Busio	75	CM CDM	1300
Hamed Junior Traoré	75	LM LW	1300
Hans Nicolussi Caviglia	75	CDM CM	650
Ismaël Koné	75	CM CDM	800
Ivan Ilić	75	CM CDM	900
Ivan Smolčić	75	RB RM	5700
Jay Idzes	75	CB	700
Jesper Karlström	75	CDM CM	1400
Johan Vásquez	75	CB	2400
Jurgen Ekkelenkamp	75	CM CAM	1300
Justin Bijlow	75	GK	1300
Kaiki Bruno da Silva	75	LB LM	900
Koni De Winter	75	CB	2600
Lorenzo Lucca	75	ST	4500
Luca Ranieri	75	CB	2700
Mandela Keita	75	CDM CM	850
Manuel Lazzari	75	RB RM	700
Martin Vitík	75	CB	1200
Nikola Moro	75	CDM CM	850
Pietro Comuzzo	75	CB	2700
Roberto Piccoli	75	ST	1300
Samuel Gigot	75	CB	0
Samuele Birindelli	75	RB CB, RM	800
Toma Bašić	75	CM CAM	1300
Tommaso Baldanzi	75	CAM CM	2900
Torbjørn Heggem	75	CB	1200
Vítor Manuel Carvalho Oliveira	75	ST CAM	1300
Yukinari Sugawara	75	RB RM	5800
Aarón Martín Caricol	74	LB LM	0
Abdoulaye Ndiaye	74	CB	400
Alberto Paleari	74	GK	5600
Alisson de Almeida Santos	74	CAM ST	650
Arijanet Murić	74	GK	500
Christos Mandas	74	GK	550
Daniel Maldini	74	ST CAM	550
Daniele Ghilardi	74	CB	750
Daniele Rugani	74	CB	700
Dany Mota Carvalho	74	ST CAM	850
Davide Bartesaghi	74	LB LM	500
Duje Ćaleta-Car	74	CB	500
Filip Stanković	74	GK	600
Fisayo Dele-Bashiru	74	CAM CM	400
Franco Israel	74	GK	350
Gianluca Gaetano	74	CAM CDM, CM	750
Honest Ahanor	74	CB	0
Jesper Karlsson	74	LW LM	1300
Juan David Cabal	74	LB CB, CDM	550
Kamaldeen Sulemana	74	LM CM, CAM, ST, +1	850
Lassana Coulibaly	74	CDM CM, CAM	600
Lorenzo Colombo	74	ST	450
Luca Pellegrini	74	LB LM	500
Matteo Cancellieri	74	RW RM	450
Michael Folorunsho	74	CM CAM, ST	450
Niccolò Pisilli	74	CM CAM	800
Nicolò Casale	74	CB	700
Patricio Gabarrón Gil	74	CB	1800
Patrick Cutrone	74	ST CAM	500
Pierluigi Gollini	74	GK	800
Radu Drăgușin	74	CB	500
Riccardo Sottil	74	LM LW	550
Samuel Mbangula	74	LM LW	2500
Sebastian Walukiewicz	74	RB RM	500
Simon Sohm	74	CM CDM	600
Stefano Turati	74	GK	450
Thierry Rendall Correia	74	RB LB, RM, LM	1800
Thomas Kristensen	74	CB	900
Tijjani Noslin	74	ST	450
Tommaso Pobega	74	CDM CM	500
Wilfried Gnonto	74	LW RM, LM, RW	650
Zakaria Aboukhlal	74	CAM RM, CM, LM, +2	400
Alberto Dossena	73	CB	600
Andrea Adorante	73	ST	500
Christian Kabasele	73	CB	500
Eray Cömert	73	CB CDM, CM	350
Fedde Leysen	73	CB	450
Gabriele Zappa	73	RB CB, RM	0
Gaetano Oristanio	73	CAM RM, RW, ST	400
Giacomo Calò	73	CDM CM	1300
Giovanni Fabbian	73	CM CAM	400
Ibrahim Sulemana	73	CDM CM	450
Jens-Lys Cajuste	73	CDM CM	0
Jesper Lindstrøm	73	RM RW	0
John Yeboah	73	ST CAM	750
José Pedro da Silva Figueiredo	73	CB	850
Josh Doig	73	LB LM	750
Kevin Akpoguma	73	CB RB	1400
Kristjan Asllani	73	CDM CM	0
M'Bala Nzola	73	ST	450
Marcus Pedersen	73	RB RM	0
Marin Pongračić	73	CB	450
Matías Moreno	73	CB	450
Matija Frigan	73	ST	400
Michel Ndary Adopo	73	CM CDM	650
Mikel Amondarain	73	CM CB, CDM, RM, +1	450
Mitchel Bakker	73	LB LM	0
Nadir Zortea	73	RB RM	900
Noel Törnqvist	73	GK	450
Ricardo Luís Chaby Mangas	73	LB LM	1500
Sandi Lovrič	73	CM CDM	450
Yunus Musah	73	CM CDM	1200
Alessandro Marcandalli	72	CB	550
Alessandro Zanoli	72	RB RM	700
Alessio Zerbin	72	RM RB, LB, LM	1300
Alfred Duncan	72	CDM CM	500
Antonín Barák	72	CAM CM	0
Armel Bella-Kotchap	72	CB	450
Benjamín Domínguez	72	LM LW	450
Cher Ndour	72	CM CDM	500
Christ Ravynel Inao Oulaï	72	CDM CM, CAM	400
Cristian Volpato	72	RW RM	400
Cyril Ngonge	72	RM CAM, RW, ST	500
Daniel Bîrligea	72	ST CAM	1400
Daniel Boloca	72	CM CDM	500
David Romero	72	ST CAM	500
Demba Thiam	72	GK	450
Devis Vásquez	72	GK	400
Edoardo Goldaniga	72	CB	400
El Bilal Touré	72	LM ST, LW	500
Farès Ghedjemis	72	RW RM	1300
Giorgi Chakvetadze	72	LM CAM, ST, LW	500
Gvidas Gineitis	72	CM CDM	400
Hassane Kamara	72	LB LM	450
Ignace Van der Brempt	72	RB	500
Jacopo Fazzini	72	CAM CM	450
Jakub Piotrowski	72	CM CDM	550
Joël Almada Monteiro	72	LM	1500
Juan Rodríguez	72	CB	550
Junior Messias	72	CM CAM	500
Kialonda Gaspar	72	CB	500
Luca Mazzitelli	72	CM CB, CDM	2100
Marco Brescianini	72	CM CAM	550
Matteo Prati	72	CDM CM	0
Mattia Felici	72	LM LB	500
Nicolò Bertola	72	CB	400
Oliver Sørensen	72	CM CAM	0
Patrick Ciurria	72	CAM RM, CM, RW	450
Sebastiano Desplanches	72	GK	1300
Unai Gómez Etxebarria	72	CAM CM, LM, LW	450
Walid Cheddira	72	ST	0
Willem Geubbels	72	ST	700
Willy Kambwala	72	CB	750
Alieu Fadera	71	LW LM	500
Andrea Carboni	71	CB	450
Antoine Hainaut	71	RB RM	850
Bartosz Mrozek	71	GK	500
Fali Candé	71	CB LB, LM	450
Filippo Terracciano	71	CB RB, LB	500
Giovane Santana	71	ST CAM	3400
Harry Winks	71	CDM CM	500
Idrissa Touré	71	RM RB	950
Jayden Addai	71	RM RW	550
Keita Baldé	71	ST CAM	450
Kerim Alajbegović	71	CAM LM, ST, LW	2800
Kian Fitz-Jim	71	CM CAM	400
Lorenzo Bernasconi	71	LM LB	650
Mateo Pellegrino	71	ST	400
Mikael Egill Ellertsson	71	CM RB, LB, RM, +2	450
Milutin Osmajić	71	ST	500
Nathan Patterson	71	RB	750
Nicholas Pierini	71	ST RM, LM, CAM, +2	400
Oier Zarraga Egaña	71	CM CDM	500
Oliver Christensen	71	GK	500
Omri Gandelman	71	CAM CDM, CM	650
Pasquale Mazzocchi	71	RB RM	600
Pontus Almqvist	71	RW RM	400
Rahim Alhassane	71	LB LM	400
Robinio Vaz	71	ST	0
Santiago Pierotti	71	RM RB, RW	650
Stefano Sabelli	71	RB RM	650
Youssef Maleh	71	CM CDM	600
Alan Matturro	70	CB	0
Alessandro Deiola	70	CM CDM	500
Andrea Ghion	70	CM CDM	350
Anthony Oyono	70	RB RM	1300
Antonio Raimondo	70	ST	1300
Botond Balogh	70	CB	0
Cas Odenthal	70	CB	400
Christian Ordoñez	70	CM CDM	500
Emirhan İlkhan	70	CM CDM	350
Enzo Tchato	70	RB RM	1300
Filippo Delli Carri	70	CB	0
Gabriele Bracaglia	70	LB CB, LM	1400
Ilario Monterisi	70	CB	1300
Ilias Koutsoupias	70	CM CAM	0
Iván Azón Monzón	70	ST	0
Jamil Siebert	70	CB	650
Jan Ziółkowski	70	CB	400
Joël Marcel Schingtienne	70	CB	650
Kevin Carlos Omoruyi Benjamin	70	ST	500
Lameck Banda	70	LM LW	0
Lennon Miller	70	CM CDM	750
Lion Lauberbach	70	ST	750
Mariano Troilo	70	CB	450
Marin Šverko	70	CB	500
Nikola Štulić	70	ST	600
Oliver Provstgaard	70	CB	400
Oussama El Azzouzi	70	CDM CM	400
Rafik Belghali	70	RB RM	1000
Riccardo Ciervo	70	RM RB, RW	350
Riyad Idrissi	70	LB	350
Rui Manuel Muati Modesto	70	RB RM	0
Sandro Kulenović	70	ST	400
Viery Fernandes	70	CB	650
Warren Bondo	70	CDM CM	650
Anouar El Azzouzi	69	CDM CM	1300
Antonio Vergara	69	CAM CM	750
Bartol Franjić	69	CB	550
Boris Radunović	69	GK	350
Cody Drameh	69	RB LB, RM, LM	450
Costantino Favasuli	69	RM RB	800
Danilo Filipe Melo Veiga	69	RB RM	800
Edoardo Corvi	69	GK	350
Edoardo Motta	69	GK	400
Elias Havel	69	ST LM, LW	400
Enzo Ebosse	69	CB	400
Gabriele Calvani	69	CB	1300
Gaby Jean	69	CB	750
Gennaro Borrelli	69	ST	3000
Giorgi Kvernadze	69	LW LM	1300
Giorgio Altare	69	CB	0
Giorgio Cittadini	69	CB	1300
Giuseppe Aurelio	69	LB LM	450
James Abankwah	69	CB RB	400
Lautaro Valenti	69	CB	450
Lorenzo De Silvestri	69	RB RM	9500
Lorenzo Palmisani	69	GK	1300
Luca Lezzerini	69	GK	900
Luca Lipani	69	CM CDM	400
Luis Hasa	69	CM CDM	1400
Marco Bleve	69	GK	600
Mario Mitaj	69	LB LM	550
Matteo Dagasso	69	CM CAM	750
Medon Berisha	69	CM CAM	550
Mohamed Kaba	69	CDM CM	600
Rafael Obrador Burguera	69	LB LM	500
Raphael Kofler	69	CB	400
Richie Sagrado	69	LB CM	350
Ridgeciano Haps	69	LB CM, LM, LW	600
Sankhoun Diawara	69	CB LB	750
Simone Ghidotti	69	GK	500
Tiago Gabriel Coelho Oliveira	69	CB	800
Vasilije Adžić	69	CAM CM	550
Agustín Albarracín	68	LM RM, CAM, LW	0
Aleksa Terzić	68	LB LM	1100
Alessandro Gabrielloni	68	ST	0
Benjamin Cremaschi	68	CM RM, CAM, RW	400
Carlo Pinsoglio	68	GK	750
David Puczka	68	LB LM	500
Eivind Helland	68	CB	500
Emil Bohinen	68	CM CDM	0
Francesco Gelli	68	CM CAM	1400
Franz-Ethan Meichtry	68	CAM RM, CM, LM, +2	400
Gabriele Artistico	68	ST	0
Gustavo Miguel Pereira S. Varela	68	ST	5600
Idrissa Gueye	68	ST	450
Jeff Ekhator	68	ST	1800
Kingstone Mutandwa	68	ST	0
Konan N'Dri	68	RM RW	500
Lorenzo Lucchesi	68	CB	450
Luca Marianucci	68	CB	600
Matteo Cichella	68	CM CDM	1400
Matthias Braunöder	68	CM CDM	0
Mattia Liberali	68	CAM ST	500
Niccolò Corrado	68	LB LM	0
Nosa Edward Obaretin	68	CB	0
Owen Kouassi	68	RB CB, CDM	0
Patrizio Masini	68	CDM CM	1200
Petar Ratkov	68	ST	0
Pietro Pellegri	68	ST	600
Raffaele Di Gennaro	68	GK	1000
Romano Floriani Mussolini	68	RM RB, LB, LM	500
Saba Goglichidze	68	CB	650
Sebastian Otoa	68	CB	400
Tino Anjorin	68	CM CDM	3300
Tommaso Fumagalli	68	ST CAM	0
Vakoun Issouf Bayo	68	ST	450
Yanis Massolin	68	CM CDM	600
Þórir Jóhann Helgason	68	CM CAM	450
Alexsandro Amorim	67	CM CDM	500
Amar Fatah	67	LM RM, RW, LW	650
Ben Lhassine Kone	67	CM CDM	1400
Ebenezer Akinsanmiro	67	CM CDM	500
Edoardo Iannoni	67	CM CDM	0
Edoardo Pieragnolo	67	LB LM	400
Fabrizio Caligara	67	CM CAM	0
Filippo Missori	67	RB RM	0
Franz Stolz	67	GK	500
Giovanni Daffara	67	GK	450
Kieron Bowie	67	ST	800
Matteo Palma	67	CB	650
Mouhamed Lamine Fanne Dabo	67	CDM CM	500
Niccolò Fortini	67	LB LM	550
Nicolas Galazzi	67	CAM CM	0
Nikita Contini	67	GK	1100
Reda Belahyane	67	CM CDM	450
Semuel Pizzignacco	67	GK	0
Valentin Antov	67	CB	450
Yeferson Paz	67	RB	450
Adrian Przyborek	66	CAM RM, CM, RW	400
Ahmed Sidibé	66	CB	0
Alen Sherri	66	GK	500
Alessio Cacciamani	66	LB LM	450
Alphadjo Cissè	66	CAM CM	500
Corrie Ndaba	66	LB CB, CDM	600
Darryl Bakola	66	CAM CM	600
Federico Zuccon	66	CM CDM	0
Filipe Bordon	66	CB	750
Francesco Camarda	66	ST	650
Joseph Liteta	66	CM CDM	450
Kevin Zeroli	66	CM CAM	0
Laurs Skjellerup	66	ST	450
Marko Farji	66	LM RM, LW, RW	0
Matías Pérez	66	CB	0
Oumar Ngom	66	CDM CM	550
Redouane Halhal	66	CB	550
Víctor Valdepeñas Talavera	66	CB LB, LM	600
